produce_slug,region_slug,season_months,peak_months,source_type,notes,storage_tip
pear,sacramento-valley,"[7, 8, 9, 10, 11, 12]","[8, 9, 10]",local,Pears ripen off the tree — buy firm and ripen at home. Bartlett changes color when ripe; Bosc and Anjou don't.,"Ripen at room temp. Check the neck — when it yields to gentle pressure, it's ready. Refrigerate ripe pears."
pear,central-valley,"[7, 8, 9, 10, 11, 12]","[8, 9, 10]",local,Pears ripen off the tree — buy firm and ripen at home. Bartlett changes color when ripe; Bosc and Anjou don't.,"Ripen at room temp. Check the neck — when it yields to gentle pressure, it's ready. Refrigerate ripe pears."
english-pea,central-coast,"[2, 3, 4, 5, 6]","[3, 4, 5]",local,Sugar snaps are the total package — eat pod and all. English peas need shelling but have the sweetest flavor.,Refrigerate immediately — sugars convert to starch fast. Best eaten same day.
english-pea,salinas-valley,"[2, 3, 4, 5, 6]","[3, 4, 5]",local,Sugar snaps are the total package — eat pod and all. English peas need shelling but have the sweetest flavor.,Refrigerate immediately — sugars convert to starch fast. Best eaten same day.
persimmon,central-valley,"[9, 10, 11, 12]","[10, 11, 12]",local,Fuyu (squat) can be eaten firm like an apple. Hachiya (acorn-shaped) must be fully soft or it's painfully astringent.,Fuyu: room temp until slightly soft. Hachiya: room temp until very soft and jelly-like.
pineapple,costa-rica,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6, 7]",import,Year-round from Costa Rica but sweetest spring through summer. Pineapples don't ripen after picking — buy golden and fragrant.,Room temp 1-2 days. Cut pineapple keeps 3-4 days refrigerated in an airtight container.
pineapple,guatemala,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6, 7]",import,Year-round from Costa Rica but sweetest spring through summer. Pineapples don't ripen after picking — buy golden and fragrant.,Room temp 1-2 days. Cut pineapple keeps 3-4 days refrigerated in an airtight container.
plum,central-valley,"[6, 7, 8, 9]","[6, 7]",local,"Santa Rosa (mid-Jun) is the iconic CA plum. Satsuma has blood-red flesh. Elephant Heart (late Jul, farmers market) is incredibly sweet but too soft to ship.",Ripen at room temp. Refrigerate once ripe — use within 3-4 days.
plum,chile-central,"[12, 1, 2, 3, 4]","[1, 2]",import,"Chilean plums are more acceptable than imported peaches — plums handle the supply chain better.",Ripen at room temp. Refrigerate once ripe — use within 3-4 days.
pomegranate,central-valley,"[1, 9, 10, 11, 12]","[10, 11, 12]",local,Wonderful variety dominates CA production. Heavier = juicier. Score and break apart in water to avoid staining.,Whole fruit keeps 1-2 months in fridge. Seeds keep a week refrigerated or freeze for months.
pummelo,central-valley,"[1, 2, 3, 11, 12]","[1, 2]",local,The original citrus — grapefruit's ancestor. Milder and sweeter with thick pithy rind. Great in salads.,"Room temp for a week, fridge for 2 weeks."
potato,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8]",local,"New potatoes (spring) have thin, flaky skin and creamy texture. Year-round from storage but spring digs are special.","Cool, dark, dry place — never refrigerate (converts starch to sugar). Keep away from onions."
pumpkin,central-valley,"[9, 10, 11]",[10],local,Sugar pie pumpkins are for eating — those big jack-o'-lantern pumpkins are watery and flavorless.,"Whole pumpkins keep for months in a cool, dry place."
radicchio,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 11, 12]",local,Bitterness mellows dramatically when grilled or roasted. Treviso is the elongated variety — slightly less bitter.,Refrigerate wrapped. Keeps about 2 weeks.
radish,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",local,Quick-growing spring crop. Watermelon radishes have stunning green-to-pink interiors. French breakfast radishes with butter and salt are perfect.,Remove greens. Submerge in water in the fridge for maximum crispness. Keeps 1-2 weeks.
radish,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",local,Quick-growing spring crop. Watermelon radishes have stunning green-to-pink interiors. French breakfast radishes with butter and salt are perfect.,Remove greens. Submerge in water in the fridge for maximum crispness. Keeps 1-2 weeks.
raspberry,santa-maria-valley,"[5, 6, 7, 8, 9, 10, 11]","[6, 7, 8, 9]",local,CA coastal climate is ideal. Golden raspberries are milder and sweeter. Inspect containers for mold at the bottom.,Don't wash until eating. Use within 2 days. Single-layer on paper towel in fridge.
raspberry,central-coast,"[5, 6, 7, 8, 9, 10, 11]","[6, 7, 8, 9]",local,CA coastal climate is ideal. Golden raspberries are milder and sweeter. Inspect containers for mold at the bottom.,Don't wash until eating. Use within 2 days. Single-layer on paper towel in fridge.
raspberry,sinaloa,"[1, 2, 3, 4, 11, 12]","[1, 2, 3, 12]",import,CA coastal climate is ideal. Golden raspberries are milder and sweeter. Inspect containers for mold at the bottom.,Don't wash until eating. Use within 2 days. Single-layer on paper towel in fridge.
rhubarb,north-coast,"[1, 2, 3, 4, 5, 6, 7]","[3, 4, 5]",local,Only eat the stalks — leaves are toxic. Field-grown is tart and intense; hothouse is milder. Pairs perfectly with strawberries.,Refrigerate wrapped in a damp towel. Keeps about 2 weeks. Freezes well chopped.
rutabaga,central-valley,"[1, 2, 3, 4, 10, 11, 12]","[1, 2, 11, 12]",local,"Sweeter than turnips, especially after frost. Excellent mashed, roasted, or added to stews.",Refrigerate. Keeps several weeks.
spinach,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5]",local,Year-round in CA but spring spinach is sweeter and more tender. Bolts in summer heat.,Refrigerate in a bag with a paper towel. Use within 5 days.
zucchini,central-valley,"[4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8]",local,"Smaller is better — large zucchini are watery and seedy. Blossoms are a delicacy, stuffed and fried.",Refrigerate in a bag. Use within a week.
butternut-squash,central-valley,"[1, 2, 3, 8, 9, 10, 11, 12]","[9, 10, 11, 12]",local,"Butternut, delicata, kabocha, acorn — each has distinct character. Delicata skin is edible. Flavor improves with storage.","Store whole in a cool, dry place for months. Cut squash keeps a week in the fridge."
strawberry,santa-maria-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 4, 5, 6]",local,CA grows 90% of US strawberries. Available almost year-round but spring berries are a different universe of flavor.,Don't wash until eating. Refrigerate on paper towels. Use within 2-3 days.
strawberry,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 4, 5, 6]",local,CA grows 90% of US strawberries. Available almost year-round but spring berries are a different universe of flavor.,Don't wash until eating. Refrigerate on paper towels. Use within 2-3 days.
sunchoke,central-valley,"[1, 2, 3, 10, 11, 12]","[1, 2, 11, 12]",local,"Nutty, slightly sweet, with a crisp water chestnut texture when raw. Roast until caramelized for the best experience.",Refrigerate in a paper bag. Keeps 2-3 weeks.
orange-sweet-potato,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[9, 10, 11, 12]",local,"Garnet, Jewel, and Beauregard varieties -- the standard orange-fleshed sweet potato Americans often mislabel as 'yam.' Moist, sweet flesh that caramelizes when roasted. Central Valley harvest runs August through November, with cured storage extending availability year-round.","Store in a cool, dark place (55-60F) -- never refrigerate raw (cold converts starch to sugar and damages texture). Properly cured roots keep 2-3 months."
tomatillo,central-valley,"[6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"The papery husk peels off to reveal a sticky, tart fruit essential for salsa verde. Smaller ones tend to be sweeter.","Leave husks on. Room temp for a week, fridge for 2-3 weeks."
tomatillo,sinaloa,"[1, 2, 3, 4, 5, 12]","[1, 2, 3]",import,"The papery husk peels off to reveal a sticky, tart fruit essential for salsa verde. Smaller ones tend to be sweeter.","Leave husks on. Room temp for a week, fridge for 2-3 weeks."
tomato,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,Peak CA heirlooms in August are one of the great food experiences. Never refrigerate a tomato — it kills flavor and texture.,"Always room temp, stem-end down. Eat within a few days of ripening."
tomato,sinaloa,"[1, 2, 3, 4, 12]","[1, 2, 3]",import,Peak CA heirlooms in August are one of the great food experiences. Never refrigerate a tomato — it kills flavor and texture.,"Always room temp, stem-end down. Eat within a few days of ripening."
turnip,central-valley,"[1, 2, 3, 4, 5, 10, 11, 12]","[1, 2, 11, 12]",local,"Young turnips are mild and sweet. Hakurei (Japanese) turnips are small, white, and can be eaten raw like radishes.",Remove greens. Refrigerate roots in a bag for 2-3 weeks.
watermelon,central-valley,"[5, 6, 7, 8, 9, 10]","[7, 8, 9]",local,Look for a pronounced yellow ground spot and hollow sound when tapped. Seedless varieties dominate but seeded have more flavor. Imperial Valley starts May.,Whole: room temp. Cut: refrigerate and eat within 3-4 days.
watermelon,imperial-valley,"[5, 6, 7, 8, 9, 10]","[7, 8, 9]",local,Look for a pronounced yellow ground spot and hollow sound when tapped. Seedless varieties dominate but seeded have more flavor. Imperial Valley starts May.,Whole: room temp. Cut: refrigerate and eat within 3-4 days.
cactus-pear,socal-coastal,"[9, 10, 11, 12]","[10, 11]",local,"Vibrant magenta flesh, watermelon-bubblegum flavor. Handle with care — tiny invisible glochids are devilish.",Refrigerate for up to a week. Use tongs or thick gloves when handling.
cactus-pear,sinaloa,"[6, 7, 8, 9, 10, 11, 12]","[8, 9, 10]",import,"Vibrant magenta flesh, watermelon-bubblegum flavor. Handle with care — tiny invisible glochids are devilish.",Refrigerate for up to a week. Use tongs or thick gloves when handling.
tangelo,central-valley,"[1, 2, 3, 11, 12]","[1, 2, 12]",local,"Minneola tangelos have a distinctive knob at the stem. Very juicy, tangy-sweet — a grapefruit-tangerine cross.","Room temp for a week, fridge for 2-3 weeks."
kohlrabi,salinas-valley,"[1, 2, 3, 4, 5, 10, 11, 12]","[1, 2, 3, 11, 12]",local,"Tastes like a mild, sweet broccoli stem. Excellent raw, shredded into slaws, or roasted. Peel the tough outer skin.",Remove leaves. Refrigerate for 2-3 weeks.
romanesco,salinas-valley,"[1, 2, 3, 10, 11, 12]","[1, 11, 12]",local,"Nature's fractal — a psychedelic relative of cauliflower. Nuttier, more delicate flavor. Stunning in presentation.",Refrigerate in a bag. Use within a week.
olive,central-valley,"[9, 10, 11, 12]","[10, 11]",local,Fresh olives are inedible raw — they must be cured. CA olive oil harvest peaks in fall. Mission and Manzanilla are key CA varieties.,"Process immediately if curing. Olive oil: store in dark, cool place."
olive,sacramento-valley,"[9, 10, 11, 12]","[10, 11]",local,Fresh olives are inedible raw — they must be cured. CA olive oil harvest peaks in fall. Mission and Manzanilla are key CA varieties.,"Process immediately if curing. Olive oil: store in dark, cool place."
pluot,central-valley,"[6, 7, 8, 9]","[7, 8]",local,"Flavor King (mid-Aug) is widely considered THE best pluot — sweet, spicy, intensely complex. Dapple Dandy/Dinosaur Egg (mid-Aug to mid-Sep). Flavor Queen (early Jul) is honey-sweet. Pluots typically 2-5 more brix than plums. Created by Zaiger Genetics in Modesto, CA.",Ripen at room temp. Refrigerate once ripe — use within 3 days.
celery-root,central-coast,"[1, 2, 3, 4, 10, 11, 12]","[1, 2, 11, 12]",local,Ugly but delicious — intense celery flavor. Classic in French rémoulade or pureed into soup.,Refrigerate in a bag. Keeps 2-3 weeks.
broccoli-rabe,salinas-valley,"[1, 2, 3, 4, 11, 12]","[1, 2, 3, 12]",local,Not actually broccoli — more related to turnips. Pleasantly bitter. Quick blanch before sautéing tames the bite.,Refrigerate in a damp towel. Use within 3-4 days.
honeydew,central-valley,"[6, 7, 8, 9, 10]","[7, 8, 9]",local,"Often unfairly maligned — a good honeydew is floral and honey-sweet. Should feel slightly waxy, not rock-hard.",Ripen at room temp. Refrigerate once ripe. Cut melon keeps 2-3 days.
honeydew,imperial-valley,"[6, 7, 8, 9, 10]","[7, 8, 9]",local,"Often unfairly maligned — a good honeydew is floral and honey-sweet. Should feel slightly waxy, not rock-hard.",Ripen at room temp. Refrigerate once ripe. Cut melon keeps 2-3 days.
almond,central-valley,"[7, 8, 9, 10]","[8, 9]",local,CA produces 80% of the world's almonds. Fresh green almonds in spring are a brief farmers market delicacy — tart and crunchy.,"Fresh almonds: refrigerate, use within days. Dried: cool, dark place for months."
walnut,central-valley,"[9, 10, 11, 12]","[10, 11]",local,Fresh-harvest walnuts in fall are milder and less bitter than stored. CA grows 99% of US walnuts.,Shell and refrigerate or freeze. In-shell keeps months in a cool place.
walnut,sacramento-valley,"[9, 10, 11, 12]","[10, 11]",local,Fresh-harvest walnuts in fall are milder and less bitter than stored. CA grows 99% of US walnuts.,Shell and refrigerate or freeze. In-shell keeps months in a cool place.
green-garlic,central-coast,"[2, 3, 4, 5]","[3, 4]",local,"Young garlic harvested before the bulb forms. Mild, green-onion-like with a gentle garlic warmth. A spring farmers market treasure.",Refrigerate in a bag. Use within a week.
green-garlic,central-valley,"[2, 3, 4, 5]","[3, 4]",local,"Young garlic harvested before the bulb forms. Mild, green-onion-like with a gentle garlic warmth. A spring farmers market treasure.",Refrigerate in a bag. Use within a week.
cactus-pad,socal-coastal,"[3, 4, 5, 6, 7, 8, 9, 10]","[4, 5, 6]",local,"Tangy, green-bean-like flavor. De-spine, slice, and grill or sauté until the slime cooks off. Essential in Mexican cuisine.",Refrigerate in a bag. Use within a week.
cactus-pad,sinaloa,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5]",import,"Tangy, green-bean-like flavor. De-spine, slice, and grill or sauté until the slime cooks off. Essential in Mexican cuisine.",Refrigerate in a bag. Use within a week.
white-peach,central-valley,"[6, 7, 8]","[6, 7]",local,"Babcock (late Jun) is the classic. Snow series and Arctic whites at farmers markets. Sweeter, more floral than yellow. More delicate — buy at farmers markets.","Ripen at room temp, then refrigerate. Eat within 2-3 days of ripening."
donut-peach,central-valley,"[5, 6, 7, 8]","[6, 7]",local,"Galaxy is the main variety. Flat shape, melting texture, very sweet. Increasingly available commercially.","Ripen at room temp, then refrigerate. Eat within 2-3 days of ripening."
sweet-corn,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,Sugar converts to starch rapidly after picking. Same-day corn from a farmers market is a completely different food.,"Eat the day you buy it. If you must store, keep in the husk in the fridge — use within 2 days."
snap-pea,salinas-valley,"[2, 3, 4, 5, 6]","[3, 4, 5]",local,"Spring crop is sweeter. Eat pod and all — the snap is the whole point. Best raw or barely cooked.",Refrigerate in a bag. Use within 3-4 days.
snap-pea,salinas-valley,"[9, 10, 11]","[10, 11]",local,"Fall crop, slightly less sweet than spring but still excellent.",Refrigerate in a bag. Use within 3-4 days.
snow-pea,salinas-valley,"[2, 3, 4, 5, 6]","[3, 4, 5]",local,"Flat pods, mild sweet flavor. Essential in stir-fries. De-string before cooking.",Refrigerate in a bag. Use within 3-4 days.
green-onion,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",local,"Year-round in CA, peak spring. Both white and green parts are usable. Grilled whole scallions are a revelation.",Wrap in damp paper towel and refrigerate. Use within a week.
yellow-onion,central-valley,"[3, 4, 5, 6, 7, 8, 9, 10]","[6, 7, 8]",local,"The all-purpose cooking onion. Spring harvest is sweeter and juicier, fall storage onions are more pungent.","Store whole in a cool, dry, dark place. Cut onions: wrap tightly and fridge for a few days."
yellow-onion,imperial-valley,"[3, 4, 5, 6, 7, 8, 9, 10]","[6, 7, 8]",local,"Imperial Valley's warm climate produces early-season onions.","Store whole in a cool, dry, dark place. Cut onions: wrap tightly and fridge for a few days."
red-onion,central-valley,"[3, 4, 5, 6, 7, 8, 9, 10]","[6, 7, 8]",local,"Milder than yellow. Best raw in salads and sandwiches. Quick-pickle for tacos.","Store whole in a cool, dry, dark place. Cut onions: wrap tightly and fridge for a few days."
shallot,central-valley,"[6, 7, 8, 9, 10]","[7, 8, 9]",local,"More complex than onion — sweet, slightly garlicky. Essential in vinaigrettes and French cooking.","Store like onions in a cool, dry, dark place. Keeps for months."
napa-cabbage,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[10, 11, 12, 1, 2, 3]",local,"Year-round in CA, best in cool months. The go-to for kimchi, dumplings, and Asian soups.",Refrigerate wrapped. Keeps 1-2 weeks.
daikon-radish,salinas-valley,"[10, 11, 12, 1, 2, 3, 4, 5]","[11, 12, 1, 2, 3]",local,"Cool-season crop. Mild, juicy. Grate for condiment, braise, or pickle. Watermelon radishes have stunning interiors.",Refrigerate in a bag. Keeps 2-3 weeks.
acorn-squash,central-valley,"[8, 9, 10, 11, 12]","[9, 10, 11]",local,"Classic fall squash. Dark green skin, orange flesh. Roast halved with butter and brown sugar.",Whole squash keeps for months in a cool dry place. Cut: refrigerate and use within a week.
acorn-squash,sacramento-valley,"[8, 9, 10, 11, 12]","[9, 10, 11]",local,"Classic fall squash. Dark green skin, orange flesh. Flavor improves with a few weeks of curing after harvest.",Whole squash keeps for months in a cool dry place. Cut: refrigerate and use within a week.
delicata-squash,central-valley,"[8, 9, 10, 11, 12]","[9, 10, 11]",local,"The edible-skin squash. Cream-colored with green stripes. Sweet, creamy, no peeling needed.",Whole squash keeps for months in a cool dry place. Cut: refrigerate and use within a week.
kabocha-squash,central-valley,"[8, 9, 10, 11, 12]","[9, 10, 11]",local,"Japanese pumpkin. Dense, dry, intensely sweet flesh — like chestnut. Excellent roasted or in soup.",Whole squash keeps for months in a cool dry place. Cut: refrigerate and use within a week.
okra,central-valley,"[6, 7, 8, 9, 10]","[7, 8, 9]",local,"Smaller pods (under 3 inches) are more tender. High heat cooking (grilling, roasting, frying) reduces sliminess.",Refrigerate in a paper bag. Use within 3 days — deteriorates quickly.
cherry-tomato,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"Sungold is the standout — bursting sweet-tart flavor. Sweeter and more reliable than full-size tomatoes.",Room temp always. Never refrigerate. Use within a few days.
cherry-tomato,socal-coastal,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"SoCal coastal climate extends the season. Dry-farmed cherry tomatoes have concentrated flavor.",Room temp always. Never refrigerate. Use within a few days.
japanese-eggplant,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"Slender, thin-skinned, fewer seeds than globe. Cooks faster, more tender. Excellent grilled whole.",Room temp if using within 2 days. Refrigerate loosely wrapped for up to a week.
lima-bean,central-valley,"[6, 7, 8, 9, 10]","[7, 8, 9]",local,"Fresh limas are nothing like frozen — buttery, sweet, nutty. Christmas limas have stunning maroon markings.",Refrigerate in pods. Shell just before cooking. Use within a few days.
basil,central-valley,"[4, 5, 6, 7, 8, 9, 10, 11]","[6, 7, 8, 9]",local,"Genovese is the standard for pesto. Thai basil holds up to heat better. Pinch flowers to extend harvest.",Do not refrigerate — cold blackens leaves. Store stems in water on the counter.
basil,salinas-valley,"[4, 5, 6, 7, 8, 9, 10, 11]","[6, 7, 8, 9]",local,"Genovese is the standard for pesto. Thai basil holds up to heat better. Pinch flowers to extend harvest.",Do not refrigerate — cold blackens leaves. Store stems in water on the counter.
cilantro,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6, 10, 11]",local,"Year-round in CA. Cool-season herb — bolts quickly in heat. Fall crop is also excellent. Include stems in cooking — more flavor than leaves.",Wrap in damp paper towel and refrigerate. Use within 5-7 days.
parsley,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",local,"Flat-leaf (Italian) has more flavor. Curly is mainly for garnish. Much more than decoration — a key ingredient in chimichurri, tabbouleh, gremolata.",Wrap in damp paper towel and refrigerate. Keeps about a week.
rosemary,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",local,"Truly year-round evergreen perennial. Grows like a weed on the CA coast. Woody stems make excellent skewers for grilling.",Wrap in damp paper towel and refrigerate for 2+ weeks. Dries easily.
thyme,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8]",local,"Year-round in CA, most aromatic in warm months. Lemon thyme is a distinct variety with citrus notes.",Wrap in damp paper towel and refrigerate. Keeps about 2 weeks.
mint,salinas-valley,"[3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9]",local,"Spearmint is milder, peppermint is more intense. Grows aggressively — if you plant it, contain it.",Store stems in water on the counter or wrap in damp paper towel and refrigerate.
dill,salinas-valley,"[3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7]",local,"Fern-like fronds with anise-caraway flavor. Essential for pickles, salmon, potato salad. Flowers are edible too.",Wrap in damp paper towel and refrigerate. Use within a week — wilts fast.
oregano,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9]",local,"Year-round in CA. Mexican oregano is a different plant with a more robust flavor. Dried oregano is often more potent than fresh.",Wrap in damp paper towel and refrigerate. Dries very well.
sage,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8]",local,"Velvety leaves, earthy-peppery flavor. Essential for brown butter sage pasta and Thanksgiving stuffing.",Wrap in damp paper towel and refrigerate. Use within a week.
shiitake-mushroom,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",local,"Cultivated year-round on supplemented sawdust logs. Rich umami flavor. Remove tough stems before cooking.",Store in a paper bag in the fridge. Never seal in plastic — they get slimy. Use within a week.
oyster-mushroom,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",local,"Fast-growing cultivated variety. Delicate, velvety texture. Excellent seared at high heat until edges crisp.",Store in a paper bag in the fridge. Very perishable — use within 3-4 days.
cremini-mushroom,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",local,"Baby portobello. Cultivated year-round. More flavor than white button mushrooms. Versatile all-purpose mushroom.",Store in a paper bag in the fridge. Never seal in plastic — they get slimy.
portobello-mushroom,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",local,"Mature cremini. Cultivated year-round. Meaty texture makes it a popular burger substitute. Scrape out gills to reduce dark liquid.",Store in a paper bag in the fridge. Use within 5-7 days.
serrano-pepper,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"Hotter than jalapeño, bright flavor. The workhorse chile for fresh salsas. Summer heat produces spicier peppers.",Refrigerate in a paper bag for up to 2 weeks. Freeze whole for long-term storage.
serrano-pepper,socal-coastal,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"SoCal extends the pepper season. Smaller serranos tend to be hotter.",Refrigerate in a paper bag for up to 2 weeks. Freeze whole for long-term storage.
habanero,socal-coastal,"[6, 7, 8, 9, 10, 11]","[7, 8, 9, 10]",local,"Fruity, floral heat — far more complex than just hot. Orange variety is most common. Scotch bonnet is a close relative.",Handle with gloves. Refrigerate in a paper bag for up to 2 weeks. Freeze for months.
poblano-pepper,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"Mild, rich, and essential for chiles rellenos. When dried, it becomes ancho. Roast and peel for best flavor.",Refrigerate in a paper bag for up to 2 weeks.
anaheim-pepper,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,"Mild, versatile chile named after Anaheim, CA. Excellent roasted. Very similar to New Mexico/Hatch chiles.",Refrigerate in a paper bag for up to 2 weeks. Roast and freeze for year-round use.
thai-chile,socal-coastal,"[6, 7, 8, 9, 10, 11]","[7, 8, 9, 10]",local,"Small but extremely hot. Essential in Thai and Southeast Asian cooking. Both red and green are used.",Refrigerate for up to 2 weeks. Dries and freezes well.
chilaca,central-valley,"[7, 8, 9, 10]","[8, 9]",local,"Long, dark green chile. Mild to medium heat. When dried, becomes the pasilla. Used in mole sauces.",Refrigerate in a paper bag. Use within a week.
plantain,guatemala,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. Cook at all stages: green (starchy, like potato), yellow (sweet), black (very sweet for maduros).",Room temp to ripen. Green plantains keep for weeks. Ripe ones refrigerate for a few days.
plantain,ecuador,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. No meaningful seasonal quality variation.",Room temp to ripen. Green plantains keep for weeks. Ripe ones refrigerate for a few days.
plantain,colombia,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. No meaningful seasonal quality variation.",Room temp to ripen. Green plantains keep for weeks. Ripe ones refrigerate for a few days.
coconut,southeast-asia,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. Young coconuts (white husk) have more water and soft jelly flesh. Brown coconuts have firmer meat.",Whole coconuts keep for months. Once cracked, refrigerate flesh and use within a few days.
coconut,brazil,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. No meaningful seasonal quality variation.",Whole coconuts keep for months. Once cracked, refrigerate flesh and use within a few days.
ginger-root,china,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. Look for firm, smooth skin — wrinkles mean old. Young ginger (pink tips) is milder and appears briefly at Asian markets.","Unpeeled in the fridge for weeks. Freeze whole — grate directly from frozen."
ginger-root,india,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported. No meaningful seasonal quality variation.","Unpeeled in the fridge for weeks. Freeze whole — grate directly from frozen."
fresno-pepper,central-valley,"[6,7,8,9,10,11]","[7,8,9,10]",local,"Developed in Fresno CA in 1952. Harvested green or left to ripen red for more heat and sweetness.","Refrigerate unwrapped in crisper drawer for up to a week. Freeze whole for longer storage."
shishito-pepper,central-valley,"[6,7,8,9,10]","[7,8,9]",local,"Japanese variety popular at farmers markets. About one in ten is unexpectedly spicy. Ready to pick just 60 days after transplant.","Refrigerate in a paper bag for up to a week. Best eaten within a few days of harvest."
padron-pepper,central-valley,"[6,7,8,9,10]","[7,8,9]",local,"Spanish tapas pepper similar to shishito. Pick small for mild flavor -- larger ones pack more heat.","Refrigerate loosely wrapped for up to a week. Blister in hot oil with coarse salt."
hatch-chile,central-valley,"[7,8,9,10]","[8,9]",local,"Named for Hatch NM but grown in CA. Short season drives a cult following. Roast over open flame to blister and peel.","Roast and freeze in batches for year-round use. Fresh chiles keep 1-2 weeks refrigerated."
cayenne-pepper,central-valley,"[6,7,8,9,10,11]","[7,8,9,10]",local,"Long thin hot pepper widely grown in the Central Valley. Typically dried and ground into cayenne powder.","Dry in a dehydrator or string into ristras. Fresh peppers keep 1-2 weeks refrigerated."
banana-pepper,central-valley,"[6,7,8,9,10]","[7,8,9]",local,"Mild sweet pepper often pickled or used in sandwiches. Named for its curved yellow shape.","Refrigerate in a plastic bag for up to 2 weeks. Excellent pickled in vinegar brine."
hungarian-wax-pepper,central-valley,"[6,7,8,9,10]","[7,8,9]",local,"Medium-hot pepper similar to banana pepper but with more bite. Turns orange then red as it matures.","Refrigerate for up to 2 weeks. Good for pickling or stuffing."
sweet-mini-pepper,central-valley,"[5,6,7,8,9,10,11]","[6,7,8,9,10]",local,"Snack-size sweet peppers in red yellow and orange. Greenhouse production extends the season.","Refrigerate in a produce bag for up to 2 weeks. Eat raw or roast whole."
